url,company,info,city,name,salary,duration,academic
https://www.shixiseng.com/intern/inn_vml5p7nsiyek?pcm=pc_SearchList,略瀚,"审计助理招聘 
  
工作内容 
1.审计业务：帮助制作底稿、报告初稿和抽凭、资料归档； 
2.财务咨询：具备基本的会计知识，可指导操作基本的账务处理； 
3.税务筹划：了解基本的税务知识，可指导解决基本的税务问题。 
  
任职要求 
1.本科学历，学习能力强，对咨询行业有兴趣的，专业不限； 
2.普通话标准流利, 有良好的表达能力和沟通技巧； 
3.对审计、财务和税务工作有认真的态度，工作主动和负责。 
  
工作地址：上海市杨浦区五角场万达广场",工作地点：上海市杨浦区五角场万达广场收起地图,公司简介略瀚,,,本科
https://www.shixiseng.com/intern/inn_npszvwnw07h9?pcm=pc_SearchList,数行科技,岗位职责:1、协助产品经理完成审计规则制定；2、日常审计及数据分析基础工作；3、产品经理交代的其他工作。资质要求：1、22年毕业的本科及本科以上学位的在校学生；会计类、经济类、金融类专业；2、熟悉中国会计准则，具有各类财务专业资格优先；3、掌握会计学专业知识和政策法规；具有良好的沟通能力、书面写作能力；熟练使用办公软件；4、每周至少有3天能到办公室工作，其他时间可在校完成工作；5、具有团队合作精神，工作勤奋主动；6、优秀者予以留用,工作地点：上海市杨高南路428号由由世纪广场1号楼7楼收起地图,公司简介数行科技,,3天,本科
https://www.shixiseng.com/intern/inn_ta9vrz3ww67r?pcm=pc_SearchList,皇嘉财润上海分公司,"工作职责：1、 协助审计专员，为各类客户提供专业的审计支持服务；2、 审查客户的帐目,协助完成客户的财务报告；3、 与客户协商解决其他复杂的业务问题；工作要求：1、 专科及以上学历，财务或相关专业的在沪大四学生；2、 对待工作认真细致，吃苦耐劳；3、可实习至2022年5月底优先",工作地点：上海市闵行区吴宝路255号力国大楼2楼239室收起地图,公司简介皇嘉财润上海分公司,,,
https://www.shixiseng.com/intern/inn_48zdwixv4vqo?pcm=pc_SearchList,波科医疗,"基本要求：
1、出勤时间：每周至少3天，9：30至18：00，实习长度不得少于3个月
2、熟练使用Microsoft Office (Word / Excel /PowerPoint/Acrobat)等办公软件
3、工作态度好，认真仔细、有较强的沟通能力和学习意愿

工作任务：
招标挂网
1.协助部门产品在全国各省招采子系统平台维护及挂网工作；
2. 挂网进度跟踪记录，每日检索相关平台，确保信息及时申报；
3.医保政策信息采集、挂网文件整理及存档；
4. 各省挂网信息查询，遇到问题协助准备申诉文件；
5. 上级安排的其他事项。",工作地点：上海市/上海市/黄浦区 波士顿科学国际有限公司 蒙自路763号丰盛创建大厦F31层收起地图,公司简介波科医疗,,3个月，3天,
https://www.shixiseng.com/intern/inn_ijdmlgh7ie0m?pcm=pc_SearchList,参天制药,"工作内容：
1、KPI数据处理及核准；
2、市场部活动的设计和执行；
3、文献查阅及检索；
4、物料制作与校对；

岗位要求：
1、大学本科/研究生在读，大三/研二优先        
2、商科（如金融、会计、经济学）、医药等专业优先
3、英语6级及以上
4、数据处理能力强，必须熟练掌握Excel的使用、PPT的制作   
5、每周4-5天，至少能实习半年以上时间；对工作的责任心强；对工作质量要求高",工作地点：上海市/上海市/浦东新区 前滩时代广场收起地图,公司简介参天制药,,5天,本科
https://www.shixiseng.com/intern/inn_pd1lrgib0j4k?pcm=pc_SearchList,洛书投资,"职责描述：
1、对市场资讯及投研信息处理加工，协助渠道经理开展专业化服务工作；
2、参与公司产品信息梳理、更新和维护，协助完成公司尽调信息填写及相关材料整理；
3、参与公司营销体系搭建与维护，协助完成路演材料、产品介绍材料更新维护；
4、参与公司公众号及外部宣传文稿的编写与审核；
5、参与公司机构合作渠道的拓展及维护，与投资人建立良好的合作关系，协助完成客户申赎材料对接。

职位要求：
1、自主学习能力突出，经济、金融类相关专业或者其他理工类专业，2026年及之后毕业的重点大学硕士及以上学历；
2、致力于从事资管行业，对私募、量化投资有一定的了解和知识储备，通过CFA、CPA、FRM优先录用；
3、性格积极乐观热情，具有良好的沟通能力和表达能力，有较强的逻辑思维和独立思考能力，热爱专业输出及渠道维护工作；
4、实习期间每周可工作时间3天以上。",工作地点：杨高南路729号陆家嘴世纪金融广场1号楼35楼收起地图,公司简介洛书投资,,3天,硕士及以上
https://www.shixiseng.com/intern/inn_n6auolymgoil?pcm=pc_SearchList,蓝胖子葡萄酒工作室,"1，市场相关专业，

2，有组织大型活动者优先考虑

3，有创新能力以及变通能力。

4，会表达、会聊天。

5，会写方案、会做海报及PPT

6，精通小红书发贴规则",工作地点：上海市/上海市/静安区 尚街·UYAO55收起地图,公司简介蓝胖子葡萄酒工作室,,,
https://www.shixiseng.com/intern/inn_l1ni1eei1jyf?pcm=pc_SearchList,歌帝梵巧克力,"Job Responsibilities:
-Daily communication with PR Agency, including relationship maintenance (media 50 pax) / KOL(200pax) / celebrity(50pax)
-Daily communication with social and digital agency, including sample coordination (5 times per month), lucky draw (2 times per month), supporting dealing with customer complaint (5 per month)
-PR Clipping report monitoring with assistance from PR Agency (2 per month)
-Follow up and consolidate seeding exposure with PR Agency (At least 50 clippings per month)
-Check the press release from PR Agency, especially for production information and label (2 per month)
-Assist 3 seasonal campaign (eg: CNY, VDAY, Summer, etc.), including KOL liaising, digital coordination, translation etc. Assist 2 seasonal campaign (eg: Holiday, Spring Easter, etc.), including KOL liaising, digital and GWP coordination, etc.
-Involvement of social content (monthly publish wechat – 8 posts) execution
-Support daily product shooting (1 photography & 1 video shooting per month ), including supporting QC scripts, check the props and onsite
-New vendor application, PO (Avg. 3 per month) and payment follow up (Avg. 3 per month)
-Sales order application and logistic follow up (Avg. 5 per month)
-Involvement of social content (monthly publish RED – 5 posts, Weibo – 4 posts) execution
-Support translate and finalize monthly commercial meeting deck
-Other communication tasks

Requirements:
-School student, bachelor degree or above
-Guarantee 6-month internship with 5 days attendance
-Good oral and writing skills in both Chinese and English
-Ability to work on multiple tasks and activities, close attention to detail and innovation
-Savvy with digital tools and social platforms (Weibo, RED, WeChat)
-Marketing, PR, social and digital related internship experience is high preferred
-Passion on photography and video editing is a big plus

薪资福利：24元/小时，雇主责任险，春节、中秋节等重要节日发放节日礼物
工作地点：上海市黄浦区淮海中路381号中环广场2711室
上下班时间：9：00 - 18：00 或 9：30-18：30",工作地点：上海市/上海市/黄浦区 中环广场办公楼 淮海中路381号2711室收起地图,公司简介歌帝梵巧克力,,,
https://www.shixiseng.com/intern/inn_3ptifotbc6de?pcm=pc_SearchList,德中工商,"Job discreption:
1. Assist in conducting market research, collecting and organizing information on industry trends, markets, and competitors;
 2. Support the preparation of departmental reports, including data analysis and PowerPoint design, ensuring clarity and professionalism;
 3. Assist in cross-department communication and coordination to ensure smooth information flow and project execution;
 4. Manage WeChat public account content, including editing and publishing, and use tools like Xiumi for formatting and optimization;
 5. Provide video production support, including basic video editing, content brainstorming, and related tasks.

Job Requirements:
 1. Major in Marketing, Communication, Journalism, or related fields preferred;
 2. Proficient in Microsoft Office, especially Excel and PowerPoint, with strong skills in data analysis and report preparation;
 3. Excellent communication skills and the ability to collaborate across departments to drive projects efficiently;
 4. Familiarity with managing WeChat public accounts and expertise in using Xiumi or similar editing tools;
 5. Basic understanding of video production and familiarity with video editing software is a plus;
 6. Available for at least 3 months of internship, with a minimum commitment of 3 days per week, and able to start as soon as possible.",工作地点：上海市/上海市/静安区 上海招商局广场北楼收起地图,公司简介德中工商,,,
https://www.shixiseng.com/intern/inn_zf0pgqi1tldw?pcm=pc_SearchList,淡水河谷,"1.	Follow up of daily project database
2.	Follow up of sample delivery to related stakeholders
3.	Translate English and Chinese documents to facilitate communication between China and Brazil colleagues (on demand)
4.	Project accrual to Accounting team
5.	Follow up grinding custody weekly report with port

Qualifications
	1. Bachelor or above
	2. Be Fluent both in written and oral in English and Chinese; Portuguese is a plus
	3. In patience, detailed and organized
	4. Good analytical and communications skills
	5. Good at Excel and PPT
	6. At lease 3 days per week for 6 months",工作地点：上海市/上海市/静安区 宝矿洲际商务中心 裕通路100号52F收起地图,公司简介淡水河谷,,,
