platform,source,keyword_group,page,job_id,job_name,company_name,location,salary_text,education,experience,url,publish_date,job_description,job_requirement,company_industry,company_size,company_finance_stage,headcount,list_deadline,ingest_time,detail_status,jd_visibility,jd_visibility_reason,link_status,link_reason,retry_needed,截止日期,实习时长,留用机会,完整职责,完整要求,完整技能,详情抓取文本,详情抓取状态,JD可见性,JD可见性原因,失败原因,链接状态,链接原因,公司类型,公司行业排名,公司梯队分,岗位核心度分,英语使用度分,成长潜力分,总分,投递优先级,严格过滤失败原因,严格过滤通过
network,websearch,-,-,-,数据分析实习生-市场营销方向,勘讯企业咨询服务(上海)有限公司,上海,-,本科,实习,https://m.liepin.com/job/1978673171.shtml ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-04-20,实习 5天/周 3个月,场营销方向 提供转正 150-250元/天 上海-静安区 实,--> 【上海 数据分析实习生 - 市场营销方向招聘】-勘讯企业咨询服务(上海)有限公司上海招聘信息-猎聘 全国 首页 职位 校园 海归 简历优化 猎聘APP 我要招人 你好； 唐圣昕 邀请应聘 我的投递 我的收藏 猎聘APP TOP 投诉建议 7 有新消息 数据分析实习生 - 市场营销方向 提供转正 150-250元/天 上海-静安区 实习 5天/周 3个月 本科 学生可投 招1人 4月2日更新 聊一聊 收藏 微信分享扫码 微信扫一扫 转发给你的朋友吧 赵女士 4小时前在线 --> 已认证 HR · 勘讯企业咨询服务(上海)有限公司 聊一聊 --> 职位介绍 【关于我们 】 勘讯（Analytic Partners）是营销分析咨询领域的头部企业；业务遍及北美、欧洲、澳洲以及亚洲；我们凭借独有的技术平台、灵活稳健的分析框架以及对行业的深刻洞察；为世界500强品牌提供数据驱动的营销决策方案；作为细分领域的绝对权威；我们持续推进行业创新；连续多年被多家权威机构评为“营销分析解决方案标杆”；你将加入一个精英团队；与全球知名企业的高管直接协作；共同塑造未来商业的增长策略； 【团队介绍 】 Client Engagement Team（CET）是勘讯的核心部门；负责从数据到决策的全链路咨询服务；你将深度参与项目全周期：从项目沟通、数据收集、清洗、多维分析到模型构建及洞察输出；我们的工作直接对话品牌决策层；通过营销组合建模、归因分析、定价及促销策略研究等前沿方法；为客户提供可落地执行的深度洞察；在AP的CET团队；你的每一个想法都可能成为推动品牌增长的关键力量；你将专注于】： - 参与多源数据清洗与整合；熟练运用SQL、Excel等工具处理各类数据集（包括但不限于excel、csv、txt及数据库提取）； - 协助搭建与优化数据分析模型；包括营销组合模型、ROI测算模型、定价模型等；深入理解模型背后的业务逻辑与应用场景； - 将分析结果转化为清晰的可视化图表与专业报告；参与客户汇报材料的制作； - 跟踪行业动态；协助完成市场趋势研究与竞品分析；为团队提供决策支持； 【我们在寻找这样的你 】 - 2026届本科或硕士毕业生；统计学、数学、数据科学等相关专业优先； - 保证每周到岗工作5天；实习期连续不少于3个月；足够的时间投入是深度参与项目、获得系统性成长的前提； - 硬技能扎实：熟练使用SQL与Excel进行数据处理；掌握Python/R中至少一门语言并具备建模实践经验； - 软实力出众：具备优秀的敏捷学习能力、独立思考能力与can-do的探索精神；能够快速适应高强度、快节奏的项目环境； - 拥有良好的英文读写能力；对咨询和商业分析充满热情； 【你将收获】 - 精英导师制度：一对一带教；从分析技巧到客户沟通,- 体系化培训：完整的线上课程覆盖营销分析全链路——从统计基础、平台功能介绍到行业最新方法论； - 真实项目锤炼：拒绝“打杂”；直接参与高价值商业项目；你的工作成果将直接影响客户决策； - 国际平台：和全球不同Office同事交流共享经验；站在国际化平台用不同视野看最前沿趋势； - 办公体验和文化：静安寺核心区域高档办公环境；标配双屏独立工位+人体工学座椅；奉行尊重、透明与高效的企业文化；良好的work-life balance； - 暖心福利：每日零食补给、精品下午茶及团队聚餐 - 职业快车道：表现优异者将有机会优先获得全职offer；直通全球精品咨询公司； 【加入我们 】 如果你渴望在真实商业环境中快速成长；欢迎投递简历！ 招聘人数：1人 公司简介 勘讯企业咨询服务有限公司（Analytic Partners）是一家快速发展的营销分析咨询公司；在纽约、丹佛、都柏林、悉尼、新加坡及上海办事处全方位开展全球业务；通过专利性技术、灵活的分析方法和对行业的高敏感度；我们为客户精心打造数据驱动型的智能优化方案；从而极大提高客户企业的销售绩效和营销ROI； 勘讯是一个以客户为中心；以团队为导向的公司；公司与众多企业深入合作；成功帮助客户发掘营销活动优化带来的业务增长点；进而形成企业独特竞争优势的全新策略；通过营销组合模型、多点归因模型、顾客细分、顾客忠诚度分析、预测性模型和优化分析；我们为众多合作伙伴提供深度洞察；为他们的商业决策赋能； Our websites: China ***************************** Global****************************** 查看全部 猎聘温馨提示： 1； 如您发现平台内招聘方存在以下违规行为的；请立即 举报 · 扣押您的身份证件或者其他证件； · 要求您提供担保人、担保金或者以其他名义向您收取财物（ 如培训费、体检费、资料费、置装费、押金等）； · 强迫您入股或者向您集资； · 以招聘名义牟取不正当利益； · 发布虚假招聘广告信息； · 工作时长违反劳动法规定； · 存在其他损害您的合法权益的行为； 如您应聘的岗位属于涉外劳务合作/海外岗位的；请务必核实招聘方对外劳务合作资质取得情况；同时注意自身资金安全； 了解更多安全防范知识 3； 本平台招聘方不向求职者提供任何收费服务； 查看全部 职场助手 猜你喜欢 Senior Analyst 【 上海-杨浦区 】 10-15k 欧泰谱(深圳)科技有限公司 互联网 融资未公开 100-499人 谢女士 HRBP 聊一聊 商业数据分析师（海外业务；Base上海或深圳） 【 上海 】 30-50k·16薪 某金融科技公司 科技金融 已上市 2000-5000人 李女士 顾问(C) 聊一聊 商业分析 【 上海 】 65-70k 某上海大型计算机软件公司 计算机软件 融资未公开 100-499人 范先生 Senior Associate 聊一聊 数据分析实习生-上海 (MJ004963) 【 上海-长宁区 】 3-4k 贝泰妮集团 批发/零售 已上市 2000-5000人 陈女士 人力资源伙伴(HRBP) 聊一聊 商业数据分析师-用户增长 【 上海 】 28-40k·16薪 某金融科技公司 科技金融 已上市 2000-5000人 李女士 顾问(C) 聊一聊 商业分析高阶(经分) 【 上海 】 120-160k·16薪 某上海知名公司 电子商务 D轮及以上 1000-2000人 梁女士 猎头顾问 聊一聊 商业数据分析师-用户增长 【 上海 】 28-40k·16薪 某金融科技公司 科技金融 已上市 2000-5000人 李女士 顾问(C) 聊一聊 产品经理- AI /Digital/APP/小程序/SaaS系统（企业业务流程梳理） 【 上海 】 30-45k·15薪 某北京大型互联网公司 互联网 不需要融资 10000人以上 黄女士 猎头顾问 聊一聊 商业经营分析专家 Advertising 【 上海-黄浦区 】 薪资面议 Mercado Libre 电子商务 10000人以上 邵女士 聊一聊 商业分析和市场策略研究实习生 【 上海-长宁区 】 3-4k 薛定谔,Excel Python R SQL excel r,--> 【上海 数据分析实习生 - 市场营销方向招聘】-勘讯企业咨询服务(上海)有限公司上海招聘信息-猎聘 全国 首页 职位 校园 海归 简历优化 猎聘APP 我要招人 你好， 唐圣昕 邀请应聘 我的投递 我的收藏 猎聘APP TOP 投诉建议 7 有新消息 数据分析实习生 - 市场营销方向 提供转正 150-250元/天 上海-静安区 实习 5天/周 3个月 本科 学生可投 招1人 4月2日更新 聊一聊 收藏 微信分享扫码 微信扫一扫 转发给你的朋友吧 赵女士 4小时前在线 --> 已认证 HR · 勘讯企业咨询服务(上海)有限公司 聊一聊 --> 职位介绍 【关于我们 】 勘讯（Analytic Partners）是营销分析咨询领域的头部企业，业务遍及北美、欧洲、澳洲以及亚洲。我们凭借独有的技术平台、灵活稳健的分析框架以及对行业的深刻洞察，为世界500强品牌提供数据驱动的营销决策方案。作为细分领域的绝对权威，我们持续推进行业创新，连续多年被多家权威机构评为“营销分析解决方案标杆”。在这里，你将加入一个精英团队，与全球知名企业的高管直接协作，共同塑造未来商业的增长策略。 【团队介绍 】 Client Engagement Team（CET）是勘讯的核心部门，负责从数据到决策的全链路咨询服务。作为团队一员，你将深度参与项目全周期：从项目沟通、数据收集、清洗、多维分析到模型构建及洞察输出。我们的工作直接对话品牌决策层，通过营销组合建模、归因分析、定价及促销策略研究等前沿方法，为客户提供可落地执行的深度洞察。在AP的CET团队，你的每一个想法都可能成为推动品牌增长的关键力量。 【实习期间，你将专注于】： - 参与多源数据清洗与整合，熟练运用SQL、Excel等工具处理各类数据集（包括但不限于excel、csv、txt及数据库提取）； - 协助搭建与优化数据分析模型，包括营销组合模型、ROI测算模型、定价模型等，深入理解模型背后的业务逻辑与应用场景； - 将分析结果转化为清晰的可视化图表与专业报告，参与客户汇报材料的制作； - 跟踪行业动态，协助完成市场趋势研究与竞品分析，为团队提供决策支持。 【我们在寻找这样的你 】 - 2026届本科或硕士毕业生，统计学、数学、数据科学等相关专业优先； - 保证每周到岗工作5天，实习期连续不少于3个月。我们相信，足够的时间投入是深度参与项目、获得系统性成长的前提； - 硬技能扎实：熟练使用SQL与Excel进行数据处理，掌握Python/R中至少一门语言并具备建模实践经验； - 软实力出众：具备优秀的敏捷学习能力、独立思考能力与can-do的探索精神，能够快速适应高强度、快节奏的项目环境； - 拥有良好的英文读写能力，团队沟通顺畅，乐于协作共享；对咨询和商业分析充满热情。 【你将收获】 - 精英导师制度：一对一带教，从分析技巧到客户沟通，零保留助你成长； - 体系化培训：完整的线上课程覆盖营销分析全链路——从统计基础、平台功能介绍到行业最新方法论； - 真实项目锤炼：拒绝“打杂”，直接参与高价值商业项目，你的工作成果将直接影响客户决策； - 国际平台：和全球不同Office同事交流共享经验，站在国际化平台用不同视野看最前沿趋势； - 办公体验和文化：静安寺核心区域高档办公环境，标配双屏独立工位+人体工学座椅；奉行尊重、透明与高效的企业文化，良好的work-life balance； - 暖心福利：每日零食补给、精品下午茶及团队聚餐 - 职业快车道：表现优异者将有机会优先获得全职offer，直通全球精品咨询公司。 【加入我们 】 如果你渴望在真实商业环境中快速成长，欢迎投递简历！ 招聘人数：1人 公司简介 勘讯企业咨询服务有限公司（Analytic Partners）是一家快速发展的营销分析咨询公司，总部位于迈阿密。在纽约、丹佛、都柏林、悉尼、新加坡及上海办事处全方位开展全球业务。通过专利性技术、灵活的分析方法和对行业的高敏感度，我们为客户精心打造数据驱动型的智能优化方案，从而极大提高客户企业的销售绩效和营销ROI。 勘讯是一个以客户为中心，以团队为导向的公司。公司与众多企业深入合作，成功帮助客户发掘营销活动优化带来的业务增长点，进而形成企业独特竞争优势的全新策略。通过营销组合模型、多点归因模型、顾客细分、顾客忠诚度分析、预测性模型和优化分析，我们为众多合作伙伴提供深度洞察，为他们的商业决策赋能。 Our websites: China ***************************** Global****************************** 查看全部 猎聘温馨提示： 1. 如您发现平台内招聘方存在以下违规行为的，请立即 举报 · 扣押您的身份证件或者其他证件； · 要求您提供担保人、担保金或者以其他名义向您收取财物（ 如培训费、体检费、资料费、置装费、押金等）； · 强迫您入股或者向您集资； · 以招聘名义牟取不正当利益； · 发布虚假招聘广告信息； · 工作时长违反劳动法规定； · 存在其他损害您的合法权益的行为。 2. 如您应聘的岗位属于涉外劳务合作/海外岗位的，请务必核实招聘方对外劳务合作资质取得情况，同时注意自身资金安全，防范招聘欺诈。 了解更多安全防范知识 3. 本平台招聘方不向求职者提供任何收费服务。 查看全部 职场助手 猜你喜欢 Senior Analyst 【 上海-杨浦区 】 10-15k 欧泰谱(深圳)科技有限公司 互联网 融资未公开 100-499人 谢女士 HRBP 聊一聊 商业数据分析师（海外业务，Base上海或深圳） 【 上海 】 30-50k·16薪 某金融科技公司 科技金融 已上市 2000-5000人 李女士 顾问(C) 聊一聊 商业分析 【 上海 】 65-70k 某上海大型计算机软件公司 计算机软件 融资未公开 100-499人 范先生 Senior Associate 聊一聊 数据分析实习生-上海 (MJ004963) 【 上海-长宁区 】 3-4k 贝泰妮集团 批发/零售 已上市 2000-5000人 陈女士 人力资源伙伴(HRBP) 聊一聊 商业数据分析师-用户增长 【 上海 】 28-40k·16薪 某金融科技公司 科技金融 已上市 2000-5000人 李女士 顾问(C) 聊一聊 商业分析高阶(经分) 【 上海 】 120-160k·16薪 某上海知名公司 电子商务 D轮及以上 1000-2000人 梁女士 猎头顾问 聊一聊 商业数据分析师-用户增长 【 上海 】 28-40k·16薪 某金融科技公司 科技金融 已上市 2000-5000人 李女士 顾问(C) 聊一聊 产品经理- AI /Digital/APP/小程序/SaaS系统（企业业务流程梳理） 【 上海 】 30-45k·15薪 某北京大型互联网公司 互联网 不需要融资 10000人以上 黄女士 猎头顾问 聊一聊 商业经营分析专家 Advertising 【 上海-黄浦区 】 薪资面议 Mercado Libre 电子商务 10000人以上 邵女士 聊一聊 商业分析和市场策略研究实习生 【 上海-长宁区 】 3-4k 薛定谔,成功,清晰可见,-,-,OK,HTTP 200,其他正规外资,基础档,20,25,8,10,63,保底目标,-,True
network,websearch,-,-,-,Strategy and Insights Intern,麦当劳中国,上海,-,本科,实习,https://m.liepin.com/lptjob/73506939?pgRef=c_h5_company_page%3Ac_h5_company_job_listcard%406_73506939%3A1%3Agw.52e2e3c0-318993442 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-04-08,实习 4天/周 4个月,-,--> 【上海 Strategy and Insights Intern (MJ101338)招聘】-麦当劳中国上海招聘信息-猎聘 全国 首页 职位 校园 海归 简历优化 猎聘APP 我要招人 你好； 唐圣昕 邀请应聘 我的投递 我的收藏 猎聘APP TOP 投诉建议 7 有新消息 Strategy and Insights Intern (MJ101338) 150元/天 上海-徐汇区 实习 4天/周 4个月 本科 学生可投 招1人 90天前更新 投简历 聊一聊 收藏 微信分享扫码 微信扫一扫 转发给你的朋友吧 孙女士 一周前在线 --> 已认证 高级招聘经理 · 麦当劳中国 聊一聊 --> 职位介绍 1； 统计/数学/计算机科学/信管/经管/商分或其他相关专业；有商分、数分实习经历的优先 2； 熟练使用Excel；兼具PPT能力 3； 具备多任务工作能力与良好的抗压能力； 有商分、数分实习经历者优先 * 该岗位分为以下子方向；如有意向投递方向；将优先考虑 User Analytics Intern 1）准备并分析公司销售各维度数据；包括但不限于城市、渠道、用户、品类等 2）参与渠道与用户运营相关专题数据准备（如价格、销量、新老客用户数、客单价等）；产出分析报告 3）完成其他案头研究工作 Strategy and Intelligence Intern 1）负责数据分析；追踪、评估业务表现；撰写相关报告 2）协助进行相关市场研究；挖掘用户特征与偏好；追踪竞品动态 3）参与消费者调研工作；或进行活动机制、创意玩法等方面的测试与优化 Business Insight Intern 1）麦中促销Campaign活动效果分析 2）协助业务部门进行业绩回顾；月度/年度指标完成情况的追踪 3）消费者User组成和行为分析；如新老客数量、复购率、消费频次等 4）准备公司销售各维度数据；渠道等 5）其他案头研究话题 招聘人数：1人 公司简介 麦当劳中国 麦当劳是全球知名的餐饮服务品牌；000家餐厅遍及全球；每天接待顾客人次超过6；每一家麦当劳餐厅都立足于本地社区；为社区邻里提供美味和凝聚力； 麦当劳于1990年进入中国内地市场,在中信、凯雷的支持下；麦当劳中国以特许经营的模式加速业务发展；截至2021年6月；000多家麦当劳餐厅； 麦当劳中国致力于提供随时随地的美味与优价；麦当劳中国拥有巨无霸、薯条、麦辣鸡腿堡、麦麦脆汁鸡等当家产品；并通过餐厅、外送、麦咖啡、甜品站、得来速等业务平台为顾客带来超级便利；麦当劳中国还积极推进绿色餐厅、绿色包装、儿童营养等可持续发展行动；并长期投入“麦当劳叔叔之家”和青年就业等公益项目；尽善而行”的品牌理念； 查看全部 猎聘温馨提示： 1； 如您发现平台内招聘方存在以下违规行为的；请立即 举报 · 扣押您的身份证件或者其他证件； · 要求您提供担保人、担保金或者以其他名义向您收取财物（ 如培训费、体检费、资料费、置装费、押金等）； · 强迫您入股或者向您集资； · 以招聘名义牟取不正当利益； · 发布虚假招聘广告信息； · 工作时长违反劳动法规定； · 存在其他损害您的合法权益的行为； 如您应聘的岗位属于涉外劳务合作/海外岗位的；请务必核实招聘方对外劳务合作资质取得情况；同时注意自身资金安全； 了解更多安全防范知识 3； 本平台招聘方不向求职者提供任何收费服务； 查看全部 职场助手 猜你喜欢 Senior Analyst 【 上海-杨浦区 】 10-15k 欧泰谱(深圳)科技有限公司 互联网 融资未公开 100-499人 谢女士 HRBP 聊一聊 商业数据分析师（海外业务；Base上海或深圳） 【 上海 】 30-50k·16薪 某金融科技公司 科技金融 已上市 2000-5000人 李女士 顾问(C) 聊一聊 数据分析实习生-上海 (MJ004963) 【 上海-长宁区 】 3-4k 贝泰妮集团 批发/零售 已上市 2000-5000人 陈女士 人力资源伙伴(HRBP) 聊一聊 商业数据分析师-用户增长 【 上海 】 28-40k·16薪 某金融科技公司 科技金融 已上市 2000-5000人 李女士 顾问(C) 聊一聊 商业分析高阶(经分) 【 上海 】 120-160k·16薪 某上海知名公司 电子商务 D轮及以上 1000-2000人 梁女士 猎头顾问 聊一聊 商业数据分析师-用户增长 【 上海 】 28-40k·16薪 某金融科技公司 科技金融 已上市 2000-5000人 李女士 顾问(C) 聊一聊 营销助理（实习岗位招聘） 【 上海-黄浦区 】 5-6k 上海东盛餐饮管理有限公司 专业技术服务 500-999人 张先生 市场部主管 聊一聊 战略分析专员 【 上海-浦东新区 】 7-9k 上海昭关照明实业有限公司 贸易/进出口 融资未公开 100-499人 黄女士 招聘经理 聊一聊 商业经营分析专家 Advertising 【 上海-黄浦区 】 薪资面议 Mercado Libre 电子商务 10000人以上 邵女士 聊一聊 商业分析和市场策略研究实习生 【 上海-长宁区 】 3-4k 薛定谔的猫(上海)科技有限公司 食品/饮料/酒水 战略融资 50-99人 沈女士 人事行政主管 聊一聊 经营分析(中台) 【 上海 】 30-60k·16薪 某上海知名公司 电子商务 D轮及以上 1000-2000人 梁女士 猎头顾问 聊一聊 商业分析师 【 上海 】 16-20k CIC灼识咨询 专业技术服务 融资未公开 100-499人 周女士 人事经理 聊一聊 数据分析（偏商业分析） 【 北京-朝阳区 】 薪资面议 泰康之家 保险 10000人以上 师女士 人事经理 聊一聊 竞品分析师 【 上海-青浦区 】 10-15k·14薪 九方智投 专业技术服务 不需要融资 1000-2000人 吴女士 招聘主管 聊一聊 商业分析/leader 【 上海 】 30-60k·16薪 某上海知名公司 生活服务O2O 已上市 10000人以上 宁先生 资深猎头顾问 聊一聊 商业数据分析师 【 杭州 】 15-25k 十禾信息 电子商务 融资未公开 500-999人 孙女士 HR 聊一聊 效率提升-PRD (MJ000105) 【 上海-浦东新区 】 7-11k·13薪 普洛药业股份有限公司 制药 已上市 5000-10000人 何女士 聊一聊 Strategy Market Analysis Associate 【 上海-浦东新区 】 8-12k 上海天融供应链有限公司 货运/物流/仓储 50-99人 许女士 招聘主管 聊一聊 高级选址策略分析师（外卖业务线） 【 上海 】 25-45k 某大型餐饮业公司 餐饮业 已上市 10000人以上 王先生 猎头顾问 聊一聊 商业数据分析师-用户增长 【 上海 】 28-40k·16薪 某金融科技公司 科技金融 已上市 20,Excel R SQL r,"--> 【上海 Strategy and Insights Intern (MJ101338)招聘】-麦当劳中国上海招聘信息-猎聘 全国 首页 职位 校园 海归 简历优化 猎聘APP 我要招人 你好， 唐圣昕 邀请应聘 我的投递 我的收藏 猎聘APP TOP 投诉建议 7 有新消息 Strategy and Insights Intern (MJ101338) 150元/天 上海-徐汇区 实习 4天/周 4个月 本科 学生可投 招1人 90天前更新 投简历 聊一聊 收藏 微信分享扫码 微信扫一扫 转发给你的朋友吧 孙女士 一周前在线 --> 已认证 高级招聘经理 · 麦当劳中国 聊一聊 --> 职位介绍 1. 统计/数学/计算机科学/信管/经管/商分或其他相关专业，有商分、数分实习经历的优先 2. 熟练使用Excel，会SQL，兼具PPT能力 3. 具备多任务工作能力与良好的抗压能力，逻辑性强，能高效沟通 4. 有商分、数分实习经历者优先 * 该岗位分为以下子方向，如有意向投递方向，请在简历中注明，将优先考虑 User Analytics Intern 1）准备并分析公司销售各维度数据，包括但不限于城市、渠道、用户、品类等 2）参与渠道与用户运营相关专题数据准备（如价格、销量、新老客用户数、客单价等），并展开分析，产出分析报告 3）完成其他案头研究工作 Strategy and Intelligence Intern 1）负责数据分析，追踪、评估业务表现，撰写相关报告 2）协助进行相关市场研究，挖掘用户特征与偏好，追踪竞品动态 3）参与消费者调研工作，了解用户需求，或进行活动机制、创意玩法等方面的测试与优化 Business Insight Intern 1）麦中促销Campaign活动效果分析 2）协助业务部门进行业绩回顾，月度/年度指标完成情况的追踪 3）消费者User组成和行为分析，如新老客数量、复购率、消费频次等 4）准备公司销售各维度数据，包括城市，市场，场景，商圈，渠道等 5）其他案头研究话题 招聘人数：1人 公司简介 麦当劳中国 麦当劳是全球知名的餐饮服务品牌，近38,000家餐厅遍及全球，每天接待顾客人次超过6,800万。每一家麦当劳餐厅都立足于本地社区，为社区邻里提供美味和凝聚力，让美味与美好，人人轻松可得。 麦当劳于1990年进入中国内地市场。2017年起，在中信、凯雷的支持下，麦当劳中国以特许经营的模式加速业务发展。截至2021年6月，全国有4,000多家麦当劳餐厅，员工超过18万。 麦当劳中国致力于提供随时随地的美味与优价。麦当劳中国拥有巨无霸、薯条、麦辣鸡腿堡、麦麦脆汁鸡等当家产品，并通过餐厅、外送、麦咖啡、甜品站、得来速等业务平台为顾客带来超级便利。麦当劳中国还积极推进绿色餐厅、绿色包装、儿童营养等可持续发展行动，并长期投入“麦当劳叔叔之家”和青年就业等公益项目，践行“因为热爱，尽善而行”的品牌理念。 查看全部 猎聘温馨提示： 1. 如您发现平台内招聘方存在以下违规行为的，请立即 举报 · 扣押您的身份证件或者其他证件； · 要求您提供担保人、担保金或者以其他名义向您收取财物（ 如培训费、体检费、资料费、置装费、押金等）； · 强迫您入股或者向您集资； · 以招聘名义牟取不正当利益； · 发布虚假招聘广告信息； · 工作时长违反劳动法规定； · 存在其他损害您的合法权益的行为。 2. 如您应聘的岗位属于涉外劳务合作/海外岗位的，请务必核实招聘方对外劳务合作资质取得情况，同时注意自身资金安全，防范招聘欺诈。 了解更多安全防范知识 3. 本平台招聘方不向求职者提供任何收费服务。 查看全部 职场助手 猜你喜欢 Senior Analyst 【 上海-杨浦区 】 10-15k 欧泰谱(深圳)科技有限公司 互联网 融资未公开 100-499人 谢女士 HRBP 聊一聊 商业数据分析师（海外业务，Base上海或深圳） 【 上海 】 30-50k·16薪 某金融科技公司 科技金融 已上市 2000-5000人 李女士 顾问(C) 聊一聊 数据分析实习生-上海 (MJ004963) 【 上海-长宁区 】 3-4k 贝泰妮集团 批发/零售 已上市 2000-5000人 陈女士 人力资源伙伴(HRBP) 聊一聊 商业数据分析师-用户增长 【 上海 】 28-40k·16薪 某金融科技公司 科技金融 已上市 2000-5000人 李女士 顾问(C) 聊一聊 商业分析高阶(经分) 【 上海 】 120-160k·16薪 某上海知名公司 电子商务 D轮及以上 1000-2000人 梁女士 猎头顾问 聊一聊 商业数据分析师-用户增长 【 上海 】 28-40k·16薪 某金融科技公司 科技金融 已上市 2000-5000人 李女士 顾问(C) 聊一聊 营销助理（实习岗位招聘） 【 上海-黄浦区 】 5-6k 上海东盛餐饮管理有限公司 专业技术服务 500-999人 张先生 市场部主管 聊一聊 战略分析专员 【 上海-浦东新区 】 7-9k 上海昭关照明实业有限公司 贸易/进出口 融资未公开 100-499人 黄女士 招聘经理 聊一聊 商业经营分析专家 Advertising 【 上海-黄浦区 】 薪资面议 Mercado Libre 电子商务 10000人以上 邵女士 聊一聊 商业分析和市场策略研究实习生 【 上海-长宁区 】 3-4k 薛定谔的猫(上海)科技有限公司 食品/饮料/酒水 战略融资 50-99人 沈女士 人事行政主管 聊一聊 经营分析(中台) 【 上海 】 30-60k·16薪 某上海知名公司 电子商务 D轮及以上 1000-2000人 梁女士 猎头顾问 聊一聊 商业分析师 【 上海 】 16-20k CIC灼识咨询 专业技术服务 融资未公开 100-499人 周女士 人事经理 聊一聊 数据分析（偏商业分析） 【 北京-朝阳区 】 薪资面议 泰康之家 保险 10000人以上 师女士 人事经理 聊一聊 竞品分析师 【 上海-青浦区 】 10-15k·14薪 九方智投 专业技术服务 不需要融资 1000-2000人 吴女士 招聘主管 聊一聊 商业分析/leader 【 上海 】 30-60k·16薪 某上海知名公司 生活服务O2O 已上市 10000人以上 宁先生 资深猎头顾问 聊一聊 商业数据分析师 【 杭州 】 15-25k 十禾信息 电子商务 融资未公开 500-999人 孙女士 HR 聊一聊 效率提升-PRD (MJ000105) 【 上海-浦东新区 】 7-11k·13薪 普洛药业股份有限公司 制药 已上市 5000-10000人 何女士 聊一聊 Strategy Market Analysis Associate 【 上海-浦东新区 】 8-12k 上海天融供应链有限公司 货运/物流/仓储 50-99人 许女士 招聘主管 聊一聊 高级选址策略分析师（外卖业务线） 【 上海 】 25-45k 某大型餐饮业公司 餐饮业 已上市 10000人以上 王先生 猎头顾问 聊一聊 商业数据分析师-用户增长 【 上海 】 28-40k·16薪 某金融科技公司 科技金融 已上市 20",成功,清晰可见,-,-,OK,HTTP 200,其他正规外资,基础档,20,10,8,10,48,过滤,-,True
