company,name,url,status,reason,prev_status
字节跳动,AI芯片架构实习生-芯片研发,https://jobs.bytedance.com/campus/position/7597748767261247749/detail,OK,,OK
字节跳动,AI芯片系统软件实习生-芯片研发,https://jobs.bytedance.com/campus/position/7592191497962539317/detail,OK,,OK
字节跳动,ASIC验证实习生-芯片研发,https://jobs.bytedance.com/campus/position/7209959043070495037/detail,OK,,OK
字节跳动,Agentic AI研究实习生-Dev AI,https://jobs.bytedance.com/campus/position/7595443659513497909/detail,OK,,OK
字节跳动,Agent后端开发实习生-Dev AI,https://jobs.bytedance.com/campus/position/7595444326646434101/detail,OK,,OK
字节跳动,Agent算法实习生-Dev AI,https://jobs.bytedance.com/campus/position/7595444840675952901/detail,OK,,OK
字节跳动,Agent算法实习生-国际电商,https://jobs.bytedance.com/campus/position/7600284767324457221/detail,OK,,OK
字节跳动,Android/iOS客户端研发实习生-国际支付,https://jobs.bytedance.com/campus/position/7605197745738467637/detail,OK,,OK
字节跳动,Android开发实习生（AI娱乐方向）-猫箱,https://jobs.bytedance.com/campus/position/7592132015526152501/detail,OK,,OK
字节跳动,BSP驱动开发实习生-移动OS,https://jobs.bytedance.com/campus/position/7592213761890879797/detail,OK,,OK
字节跳动,B端产品实习生-抖音生活服务,https://jobs.bytedance.com/campus/position/7614108946477222149/detail,OK,,OK
字节跳动,C++客户端实习生-飞书,https://jobs.bytedance.com/campus/position/7597276561473685765/detail,OK,,OK
字节跳动,C++数据库开发实习生-Data-抖音/直播/电商/剪映,https://jobs.bytedance.com/campus/position/7595241880918673669/detail,OK,,OK
字节跳动,C++数据库开发实习生-数据平台,https://jobs.bytedance.com/campus/position/7592211796869073157/detail,OK,,OK
字节跳动,CRM产品经理实习生-抖音电商,https://jobs.bytedance.com/campus/position/7598028757579876613/detail,OK,,OK
字节跳动,C端营销实习生-抖音电商,https://jobs.bytedance.com/campus/position/7593291917846350085/detail,OK,,OK
字节跳动,Dev Agent后端开发实习生-开发者服务,https://jobs.bytedance.com/campus/position/7593024414506387765/detail,OK,,OK
字节跳动,FPGA硬件研发实习生-芯片研发,https://jobs.bytedance.com/campus/position/7264554840724916537/detail,OK,,OK
字节跳动,Feed产品实习生（视频消费方向）-TikTok,https://jobs.bytedance.com/campus/position/7612480888792238341/detail,OK,,OK
字节跳动,Feed产品实习生（跨语言AI方向）-TikTok,https://jobs.bytedance.com/campus/position/7612480968992065797/detail,OK,,OK
字节跳动,HR实习生-研发中台,https://jobs.bytedance.com/campus/position/7592142401550305589/detail,OK,,OK
字节跳动,HR实习生-飞书,https://jobs.bytedance.com/campus/position/7603678360305174837/detail,OK,,OK
字节跳动,HR招聘实习生-TikTok Shop,https://jobs.bytedance.com/campus/position/7599496621689374981/detail,OK,,OK
字节跳动,HR招聘实习生-广告,https://jobs.bytedance.com/campus/position/7591379313814046981/detail,OK,,OK
字节跳动,IM商家服务C端产品实习生-抖音电商,https://jobs.bytedance.com/campus/position/7597367844233447733/detail,OK,,OK
