url,company_name,city
https://www.shixiseng.com/intern/inn_txxv3k3z3yzx?pcm=pc_SearchList,货拉拉,200-250/天上海硕士5天／周实习4个月
https://www.shixiseng.com/intern/inn_hqkul3vo7ust?pcm=pc_SearchList,科锐国际,100-120/天上海本科5天／周实习3个月
https://www.shixiseng.com/intern/inn_wqtq1neujgxh?pcm=pc_SearchList,哈啰,150-180/天上海本科5天／周实习3个月
https://www.shixiseng.com/intern/inn_qugor15nc5vt?pcm=pc_SearchList,万豪国际酒店集团公司,150/天上海不限5天／周实习6个月
https://www.shixiseng.com/intern/inn_kmpr2mu5s9pk?pcm=pc_SearchList,WTS,150-200/天上海本科4天／周实习3个月提供转正机会
https://www.shixiseng.com/intern/inn_yfcp7jofuaz2?pcm=pc_SearchList,拜耳,120-180/天上海本科5天／周实习6个月
https://www.shixiseng.com/intern/inn_bbismbuyxt3i?pcm=pc_SearchList,广发证券,50-100/天上海本科4天／周实习3个月
https://www.shixiseng.com/intern/inn_svgdbtits5hc?pcm=pc_SearchList,因诺资产,250-400/天上海硕士4天／周实习4个月
https://www.shixiseng.com/intern/inn_mnekswyab3pa?pcm=pc_SearchList,天风证券,50-100/天上海硕士4天／周实习3个月
https://www.shixiseng.com/intern/inn_gtx1kj1w6x2s?pcm=pc_SearchList,拜耳,120-180/天上海本科5天／周实习6个月
https://www.shixiseng.com/intern/inn_bbotueeam0sf?pcm=pc_SearchList,KPMG China 毕马威中国,150/天上海本科5天／周实习3个月提供转正机会
https://www.shixiseng.com/intern/inn_bvdumjojrmpd?pcm=pc_SearchList,集度,薪资面议上海不限5天／周实习3个月
https://www.shixiseng.com/intern/inn_xxblwptlmpg2?pcm=pc_SearchList,贝塔斯曼,150-200/天上海本科4天／周实习4个月
https://www.shixiseng.com/intern/inn_xrwcpnrp4q3s?pcm=pc_SearchList,基准方中,100-150/天上海本科5天／周实习3个月提供转正机会
https://www.shixiseng.com/intern/inn_zvsgpcjvlqoh?pcm=pc_SearchList,度小满,150-180/天上海本科5天／周实习3个月
https://www.shixiseng.com/intern/inn_nw3bpucumqbd?pcm=pc_SearchList,航行资本,100/天上海不限3天／周实习3个月提供转正机会
https://www.shixiseng.com/intern/inn_umsaujmp5dx5?pcm=pc_SearchList,龙湖塘鹅租售,120/天上海本科4天／周实习3个月
https://www.shixiseng.com/intern/inn_hk1g1azfvzjt?pcm=pc_SearchList,NIO蔚来,200/天上海不限5天／周实习3个月
https://www.shixiseng.com/intern/inn_dh7uzldcyp4v?pcm=pc_SearchList,TESLA-特斯拉,180-300/天上海本科5天／周实习4个月
