sync_key,status,collect_time
official_tencent_api|1210646470286783488,UPDATED,2026-03-17 00:15:08
official_tencent_api|1210646470286783489,UPDATED,2026-03-17 00:15:08
official_tencent_api|1210646470286783492,UPDATED,2026-03-17 00:15:08
official_tencent_api|1211741014633886720,UPDATED,2026-03-17 00:15:08
official_tencent_api|1211741015405638656,UPDATED,2026-03-17 00:15:08
official_tencent_api|1212183855952704512,UPDATED,2026-03-17 00:15:08
official_tencent_api|1212183855952704514,UPDATED,2026-03-17 00:15:08
official_meituan|4242042491,NEW,2026-03-17 00:15:08
official_meituan|4275291947,NEW,2026-03-17 00:15:08
official_meituan|4230026949,NEW,2026-03-17 00:15:08
official_meituan|4147076934,NEW,2026-03-17 00:15:08
official_meituan|4274764124,NEW,2026-03-17 00:15:08
official_meituan|4272888610,NEW,2026-03-17 00:15:08
official_meituan|4215253408,NEW,2026-03-17 00:15:08
official_meituan|3064829844,NEW,2026-03-17 00:15:08
official_meituan|4263820207,NEW,2026-03-17 00:15:08
official_meituan|4262670527,NEW,2026-03-17 00:15:08
official_meituan|4275669411,NEW,2026-03-17 00:15:08
official_meituan|3087199140,NEW,2026-03-17 00:15:08
official_meituan|4263759630,NEW,2026-03-17 00:15:08
official_meituan|4152658042,NEW,2026-03-17 00:15:08
official_meituan|4267902191,NEW,2026-03-17 00:15:08
official_meituan|4274505492,NEW,2026-03-17 00:15:08
official_meituan|4253946065,NEW,2026-03-17 00:15:08
official_meituan|4250160786,NEW,2026-03-17 00:15:08
official_meituan|4103086146,NEW,2026-03-17 00:15:08
official_meituan|4275161267,NEW,2026-03-17 00:15:08
official_meituan|4186951948,NEW,2026-03-17 00:15:08
official_meituan|4276383445,NEW,2026-03-17 00:15:08
official_meituan|4264627011,NEW,2026-03-17 00:15:08
official_meituan|4268341190,NEW,2026-03-17 00:15:08
official_meituan|4211345819,NEW,2026-03-17 00:15:08
official_meituan|4234053102,NEW,2026-03-17 00:15:08
official_meituan|4266621226,NEW,2026-03-17 00:15:08
official_meituan|4233374451,NEW,2026-03-17 00:15:08
official_meituan|4104054002,NEW,2026-03-17 00:15:08
official_meituan|4220361630,NEW,2026-03-17 00:15:08
official_meituan|4254943827,NEW,2026-03-17 00:15:08
official_meituan|4251492686,NEW,2026-03-17 00:15:08
official_meituan|4208447290,NEW,2026-03-17 00:15:08
official_meituan|4255362728,NEW,2026-03-17 00:15:08
official_meituan|3743055764,NEW,2026-03-17 00:15:08
official_meituan|4239546276,NEW,2026-03-17 00:15:08
official_meituan|4230288628,NEW,2026-03-17 00:15:08
official_meituan|4247139038,NEW,2026-03-17 00:15:08
official_meituan|4261837764,NEW,2026-03-17 00:15:08
official_meituan|4260329499,NEW,2026-03-17 00:15:08
official_meituan|4257984888,NEW,2026-03-17 00:15:08
official_meituan|4253239632,NEW,2026-03-17 00:15:08
official_meituan|4241918398,NEW,2026-03-17 00:15:08
official_meituan|4218447689,NEW,2026-03-17 00:15:08
official_meituan|4214051359,NEW,2026-03-17 00:15:08
official_meituan|4208545497,NEW,2026-03-17 00:15:08
official_meituan|4165335693,NEW,2026-03-17 00:15:08
official_meituan|4156222978,NEW,2026-03-17 00:15:08
official_meituan|4139971950,NEW,2026-03-17 00:15:08
official_meituan|3859605161,NEW,2026-03-17 00:15:08
official_meituan|3741772999,NEW,2026-03-17 00:15:08
official_meituan|4258600558,NEW,2026-03-17 00:15:08
official_meituan|2984157945,NEW,2026-03-17 00:15:08
official_meituan|2927053230,NEW,2026-03-17 00:15:08
official_meituan|4177326963,NEW,2026-03-17 00:15:08
official_meituan|4135583466,NEW,2026-03-17 00:15:08
official_meituan|4248927961,NEW,2026-03-17 00:15:08
official_meituan|4147620136,NEW,2026-03-17 00:15:08
official_meituan|3567666010,NEW,2026-03-17 00:15:08
official_meituan|4249416960,NEW,2026-03-17 00:15:08
official_meituan|4259265862,NEW,2026-03-17 00:15:08
official_meituan|3743364082,NEW,2026-03-17 00:15:08
official_meituan|4212581452,NEW,2026-03-17 00:15:08
official_meituan|3786372696,NEW,2026-03-17 00:15:08
official_meituan|4218497979,NEW,2026-03-17 00:15:08
official_meituan|4211658886,NEW,2026-03-17 00:15:08
official_meituan|4220505664,NEW,2026-03-17 00:15:08
official_meituan|4259683073,NEW,2026-03-17 00:15:08
official_meituan|4217601422,NEW,2026-03-17 00:15:08
official_meituan|4258929482,NEW,2026-03-17 00:15:08
official_meituan|4063192281,NEW,2026-03-17 00:15:08
official_meituan|4255809072,NEW,2026-03-17 00:15:08
official_meituan|3148133809,NEW,2026-03-17 00:15:08
official_meituan|4238230443,NEW,2026-03-17 00:15:08
official_meituan|4254863558,NEW,2026-03-17 00:15:08
official_meituan|4216460564,NEW,2026-03-17 00:15:08
official_meituan|3930030455,NEW,2026-03-17 00:15:08
official_meituan|3154197817,NEW,2026-03-17 00:15:08
official_meituan|4227350959,NEW,2026-03-17 00:15:08
official_meituan|4150674945,NEW,2026-03-17 00:15:08
official_meituan|4254149288,NEW,2026-03-17 00:15:08
official_meituan|4252911870,NEW,2026-03-17 00:15:08
official_meituan|4049611128,NEW,2026-03-17 00:15:08
official_meituan|4249687470,NEW,2026-03-17 00:15:08
official_meituan|4211590659,NEW,2026-03-17 00:15:08
official_meituan|3771291708,NEW,2026-03-17 00:15:08
official_meituan|4165283121,NEW,2026-03-17 00:15:08
official_meituan|4242195249,NEW,2026-03-17 00:15:08
official_meituan|4237217782,NEW,2026-03-17 00:15:08
official_meituan|4136657545,NEW,2026-03-17 00:15:08
official_meituan|3391103015,NEW,2026-03-17 00:15:08
official_meituan|4135152448,NEW,2026-03-17 00:15:08
official_meituan|4237549242,NEW,2026-03-17 00:15:08
official_meituan|4249891076,NEW,2026-03-17 00:15:08
official_meituan|4229032271,NEW,2026-03-17 00:15:08
official_meituan|4242949013,NEW,2026-03-17 00:15:08
official_meituan|4241009507,NEW,2026-03-17 00:15:08
official_meituan|4244940188,NEW,2026-03-17 00:15:08
official_meituan|4220864100,NEW,2026-03-17 00:15:08
official_meituan|4217129800,NEW,2026-03-17 00:15:08
official_meituan|4155951730,NEW,2026-03-17 00:15:08
official_meituan|4218202163,NEW,2026-03-17 00:15:08
official_meituan|4247174228,NEW,2026-03-17 00:15:08
official_meituan|4217932917,NEW,2026-03-17 00:15:08
official_meituan|4238345649,NEW,2026-03-17 00:15:08
official_meituan|4240989061,NEW,2026-03-17 00:15:08
official_meituan|4241485370,NEW,2026-03-17 00:15:08
official_meituan|3524979618,NEW,2026-03-17 00:15:08
official_meituan|4218234329,NEW,2026-03-17 00:15:08
official_meituan|4218235231,NEW,2026-03-17 00:15:08
official_meituan|4218238167,NEW,2026-03-17 00:15:08
official_meituan|4217511862,NEW,2026-03-17 00:15:08
official_meituan|4218189345,NEW,2026-03-17 00:15:08
official_meituan|4217610081,NEW,2026-03-17 00:15:08
official_meituan|4217515760,NEW,2026-03-17 00:15:08
official_meituan|4218197380,NEW,2026-03-17 00:15:08
official_meituan|4218205767,NEW,2026-03-17 00:15:08
official_meituan|4217480858,NEW,2026-03-17 00:15:08
official_meituan|4217283679,NEW,2026-03-17 00:15:08
official_meituan|4217487762,NEW,2026-03-17 00:15:08
official_meituan|4215653116,NEW,2026-03-17 00:15:08
official_meituan|4217452983,NEW,2026-03-17 00:15:08
official_meituan|4215632154,NEW,2026-03-17 00:15:08
official_meituan|4215642424,NEW,2026-03-17 00:15:08
official_meituan|4215639430,NEW,2026-03-17 00:15:08
official_meituan|4215631209,NEW,2026-03-17 00:15:08
official_meituan|4215621362,NEW,2026-03-17 00:15:08
official_meituan|4215619039,NEW,2026-03-17 00:15:08
official_meituan|4215619700,NEW,2026-03-17 00:15:08
official_meituan|4215590816,NEW,2026-03-17 00:15:08
official_meituan|4215604547,NEW,2026-03-17 00:15:08
official_meituan|4215588480,NEW,2026-03-17 00:15:08
official_meituan|4215606568,NEW,2026-03-17 00:15:08
official_meituan|4214765782,NEW,2026-03-17 00:15:08
official_meituan|4214738108,NEW,2026-03-17 00:15:08
official_meituan|4214498163,NEW,2026-03-17 00:15:08
official_meituan|4214465592,NEW,2026-03-17 00:15:08
official_meituan|4214730848,NEW,2026-03-17 00:15:08
official_meituan|4214417681,NEW,2026-03-17 00:15:08
official_meituan|4214053178,NEW,2026-03-17 00:15:08
official_meituan|4213821584,NEW,2026-03-17 00:15:08
official_meituan|4213686179,NEW,2026-03-17 00:15:08
official_meituan|4214433797,NEW,2026-03-17 00:15:08
official_meituan|4213685736,NEW,2026-03-17 00:15:08
official_meituan|3523201360,NEW,2026-03-17 00:15:08
official_meituan|3957697178,NEW,2026-03-17 00:15:08
official_meituan|3716178859,NEW,2026-03-17 00:15:08
official_meituan|2108055683,NEW,2026-03-17 00:15:08
official_meituan|4230569303,NEW,2026-03-17 00:15:08
official_meituan|4017584809,NEW,2026-03-17 00:15:08
official_meituan|4212540727,NEW,2026-03-17 00:15:08
official_meituan|4217632181,NEW,2026-03-17 00:15:08
official_meituan|3981102923,NEW,2026-03-17 00:15:08
official_meituan|4239090637,NEW,2026-03-17 00:15:08
official_meituan|4238758709,NEW,2026-03-17 00:15:08
official_meituan|4236814968,NEW,2026-03-17 00:15:08
official_meituan|4225609054,NEW,2026-03-17 00:15:08
official_meituan|4233287872,NEW,2026-03-17 00:15:08
official_meituan|4229081793,NEW,2026-03-17 00:15:08
official_meituan|4235075456,NEW,2026-03-17 00:15:08
official_meituan|4214797484,NEW,2026-03-17 00:15:08
official_meituan|4182692159,NEW,2026-03-17 00:15:08
official_meituan|3650708417,NEW,2026-03-17 00:15:08
official_meituan|4092180067,NEW,2026-03-17 00:15:08
official_meituan|4219958794,NEW,2026-03-17 00:15:08
official_meituan|4234015504,NEW,2026-03-17 00:15:08
official_meituan|4234269438,NEW,2026-03-17 00:15:08
official_meituan|4216964995,NEW,2026-03-17 00:15:08
official_meituan|4234610645,NEW,2026-03-17 00:15:08
official_meituan|2617763220,NEW,2026-03-17 00:15:08
official_meituan|4230445238,NEW,2026-03-17 00:15:08
official_meituan|3839757449,NEW,2026-03-17 00:15:08
official_meituan|4232787041,NEW,2026-03-17 00:15:08
official_meituan|3869162903,NEW,2026-03-17 00:15:08
official_meituan|4041509306,NEW,2026-03-17 00:15:08
official_meituan|3836986063,NEW,2026-03-17 00:15:08
official_meituan|4214526487,NEW,2026-03-17 00:15:08
official_meituan|4227621829,NEW,2026-03-17 00:15:08
official_meituan|4229214887,NEW,2026-03-17 00:15:08
official_meituan|4225143101,NEW,2026-03-17 00:15:08
official_meituan|4230614127,NEW,2026-03-17 00:15:08
official_meituan|4229465085,NEW,2026-03-17 00:15:08
official_meituan|3640749921,NEW,2026-03-17 00:15:08
official_meituan|4227756346,NEW,2026-03-17 00:15:08
official_meituan|4227059504,NEW,2026-03-17 00:15:08
official_meituan|4224727818,NEW,2026-03-17 00:15:08
official_meituan|3642100203,NEW,2026-03-17 00:15:08
official_meituan|4225289584,NEW,2026-03-17 00:15:08
official_meituan|4225052413,NEW,2026-03-17 00:15:08
official_meituan|4227049164,NEW,2026-03-17 00:15:08
official_meituan|3372193786,NEW,2026-03-17 00:15:08
official_meituan|4219973077,NEW,2026-03-17 00:15:08
official_meituan|4226092628,NEW,2026-03-17 00:15:08
official_meituan|4215326462,NEW,2026-03-17 00:15:08
official_meituan|4224870650,NEW,2026-03-17 00:15:08
official_meituan|4220903683,NEW,2026-03-17 00:15:08
official_meituan|4215592539,NEW,2026-03-17 00:15:08
official_meituan|4215591540,NEW,2026-03-17 00:15:08
official_meituan|4215515110,NEW,2026-03-17 00:15:08
official_meituan|4215413016,NEW,2026-03-17 00:15:08
official_meituan|4215386149,NEW,2026-03-17 00:15:08
official_meituan|4215376610,NEW,2026-03-17 00:15:08
official_meituan|4215373117,NEW,2026-03-17 00:15:08
official_meituan|4215373661,NEW,2026-03-17 00:15:08
official_meituan|4215376215,NEW,2026-03-17 00:15:08
official_meituan|4214736535,NEW,2026-03-17 00:15:08
official_meituan|4215304944,NEW,2026-03-17 00:15:08
official_meituan|4214742174,NEW,2026-03-17 00:15:08
official_meituan|4214527592,NEW,2026-03-17 00:15:08
official_meituan|4214672567,NEW,2026-03-17 00:15:08
official_meituan|4214479608,NEW,2026-03-17 00:15:08
official_meituan|4214479276,NEW,2026-03-17 00:15:08
official_meituan|4214449564,NEW,2026-03-17 00:15:08
official_meituan|4214380758,NEW,2026-03-17 00:15:08
official_meituan|4214314424,NEW,2026-03-17 00:15:08
official_meituan|4214243662,NEW,2026-03-17 00:15:08
official_meituan|4214178851,NEW,2026-03-17 00:15:08
official_meituan|4214050830,NEW,2026-03-17 00:15:08
official_meituan|4213931450,NEW,2026-03-17 00:15:08
official_meituan|4213956888,NEW,2026-03-17 00:15:08
official_meituan|4214018714,NEW,2026-03-17 00:15:08
official_meituan|4213724017,NEW,2026-03-17 00:15:08
official_meituan|4213723814,NEW,2026-03-17 00:15:08
official_meituan|4213684352,NEW,2026-03-17 00:15:08
official_meituan|4218117361,NEW,2026-03-17 00:15:08
official_meituan|4218117235,NEW,2026-03-17 00:15:08
official_meituan|4217942672,NEW,2026-03-17 00:15:08
official_meituan|4217987577,NEW,2026-03-17 00:15:08
official_meituan|4217954656,NEW,2026-03-17 00:15:08
official_meituan|4217519764,NEW,2026-03-17 00:15:08
official_meituan|4217453254,NEW,2026-03-17 00:15:08
official_meituan|4216960761,NEW,2026-03-17 00:15:08
official_meituan|4216928688,NEW,2026-03-17 00:15:08
official_meituan|4217120375,NEW,2026-03-17 00:15:08
official_meituan|4216952523,NEW,2026-03-17 00:15:08
official_meituan|4217024852,NEW,2026-03-17 00:15:08
official_meituan|4216703086,NEW,2026-03-17 00:15:08
official_meituan|4215772481,NEW,2026-03-17 00:15:08
official_meituan|4216903402,NEW,2026-03-17 00:15:08
official_meituan|4215722137,NEW,2026-03-17 00:15:08
official_meituan|4215766196,NEW,2026-03-17 00:15:08
official_meituan|4215761281,NEW,2026-03-17 00:15:08
official_meituan|4215710139,NEW,2026-03-17 00:15:08
official_meituan|4215666556,NEW,2026-03-17 00:15:08
official_meituan|4215666830,NEW,2026-03-17 00:15:08
official_meituan|4215682840,NEW,2026-03-17 00:15:08
official_meituan|4215672698,NEW,2026-03-17 00:15:08
official_meituan|4215673320,NEW,2026-03-17 00:15:08
official_meituan|4215697176,NEW,2026-03-17 00:15:08
official_meituan|4215665753,NEW,2026-03-17 00:15:08
official_meituan|4215661945,NEW,2026-03-17 00:15:08
official_meituan|4214767584,NEW,2026-03-17 00:15:08
official_meituan|4214594391,NEW,2026-03-17 00:15:08
official_meituan|4214500987,NEW,2026-03-17 00:15:08
official_meituan|4214403130,NEW,2026-03-17 00:15:08
official_meituan|4214546789,NEW,2026-03-17 00:15:08
official_meituan|4214562293,NEW,2026-03-17 00:15:08
official_meituan|4214230339,NEW,2026-03-17 00:15:08
official_meituan|4214070691,NEW,2026-03-17 00:15:08
official_meituan|4214246400,NEW,2026-03-17 00:15:08
official_meituan|4213990254,NEW,2026-03-17 00:15:08
official_meituan|4213974964,NEW,2026-03-17 00:15:08
official_meituan|4213902960,NEW,2026-03-17 00:15:08
official_meituan|4213752377,NEW,2026-03-17 00:15:08
official_meituan|4213902084,NEW,2026-03-17 00:15:08
official_meituan|4223251372,NEW,2026-03-17 00:15:08
official_meituan|4223156837,NEW,2026-03-17 00:15:08
official_meituan|4223617467,NEW,2026-03-17 00:15:08
official_meituan|4222770109,NEW,2026-03-17 00:15:08
official_meituan|4221524416,NEW,2026-03-17 00:15:08
official_meituan|4221902669,NEW,2026-03-17 00:15:08
official_meituan|4221920364,NEW,2026-03-17 00:15:08
official_meituan|4221924357,NEW,2026-03-17 00:15:08
official_meituan|4221929103,NEW,2026-03-17 00:15:08
official_meituan|4220518746,NEW,2026-03-17 00:15:08
official_meituan|4220758056,NEW,2026-03-17 00:15:08
official_meituan|4220843731,NEW,2026-03-17 00:15:08
official_meituan|4220537892,NEW,2026-03-17 00:15:08
official_meituan|4220034613,NEW,2026-03-17 00:15:08
