sync_key,status,collect_time
official_kuaishou_api|11477,NEW,2026-03-16 21:55:56
official_xiaohongshu|15802,NEW,2026-03-16 21:55:56
official_xiaohongshu|17946,NEW,2026-03-16 21:55:56
