url,company,info,city,name,salary,company_size,duration,academic
https://www.shixiseng.com/intern/inn_po2zvhvskm8n?pcm=pc_SearchList,KPMG China 毕马威中国,"【岗位职责】
为国内外生物医药企业提供公司战略及产品定位等咨询服务，包括各类市场调研、竞对分析、提升建议等服务，实习生主要工作为：

1. 资料搜集整理、文件翻译等
2. 访谈纪要整理
3. 协助编写报告
4. 协助咨询项目的正常开展
5.其他项目所需的必要工作

【任职要求】
1. 国内外本科学历及以上，生物医药背景优先。
2. 能够流利地使用英语交流，英语读写听能力优秀。
3. 具有较强的创新能力和思维，逻辑性强，热爱咨询行业，有较强的沟通能力和文字表达能力。
4. 需要较好的办公软件操作能力，尤其是excelPPT等基本office操作工具。
5.对待工作细心负责，有耐心。
6. 可尽快入职，实习期最少3个月，每周5天。

如果你热爱咨询行业，或对 MNC管理咨询充满了好奇心，我们欢迎你的加入。",工作地点：申长路988弄虹桥万科中心7号楼收起地图,公司简介KPMG China 毕马威中国,,,每周5天，3个月,本科
https://www.shixiseng.com/intern/inn_xlg9romviaqw?pcm=pc_SearchList,霸王茶姬,"职责描述：
1、支持用户运营中心各项日常运营工作，包含但不限于案例整理、文案撰写及活动执行等
2、承接中心内部的跨部门协调沟通需求，承接领导安排的临时工作，协助相关项目的推进
2、有一定的活动策划或文案撰写的经验，喜欢网上冲浪，网感好，关注社交热点及热门话题

任职要求：
1、本科以上在读学生，汉语言文学、市场营销等专业优先，有茶饮/咖啡相关实习经验优先
2、性格外向乐观，做事认真负责，有较强的执行力
3、每周至少能保证3-4天实习时间，实习期3-6个月以上",工作地点：上海市/上海市/长宁区 虹桥联合大厦-B号楼收起地图,公司简介霸王茶姬,,,6个月，4天,本科
https://www.shixiseng.com/intern/inn_zpeoxmvitpli?pcm=pc_SearchList,霸王茶姬,"职责描述：
1. 撰写社群日常文案，包括朋友圈、1v1、群公告、活动通知、话题讨论等；
2. 结合时事热点，定位用户快速生成热点话题文案，提升社群活跃度和转化；
3. 协助社群内容策划，优化文案效果；
4. 协助上级安排其他工作任务；
任职要求：
1.本科及以上学历，中文、新闻、传媒等相关专业优先；
2.文字功底扎实，有文案创作或社群运营实习经验者优先；
3.关注时事热点，能快速捕捉并融入文案，文字表达清晰有感染力；
4.具备良好的学习能力和团队协作精神；
5.能够保证3个月以上实习，一周出勤4天者优先。",工作地点：上海市/上海市/长宁区 虹桥联合大厦-B号楼收起地图,公司简介霸王茶姬,,,3个月，一周，4天,本科及以上
https://www.shixiseng.com/intern/inn_ezmehfh4wbiw?pcm=pc_SearchList,KPMG China 毕马威中国,"【团队介绍】
毕马威的ESG咨询实践有助于组织改善其可持续发展管理，并支持组织制定应对可持续发展具体挑战的战略。我们的目标是帮助我们的客户了解并应对可持续发展趋势，这些趋势正在推动市场、法规和技术的变化。我们的工作范围包括支持战略、管理和报告的制定，帮助客户解决应对气候变化、供应链管理和其他新兴领域的实施挑战。

【岗位职责】
1. 支持团队交付咨询项目，包括ESG报告、分析ESG数据和评级、交付会议纪要等；
2. 发展和保持关于气候变化和可持续发展的最新知识；
3. 制定和协调提高可持续发展服务质量的举措，包括培训、研讨会、调查等；


【任职要求】
1. 金融、会计、数学、环境、语文、管理等专业优先，国内外本科及以上学历在校生；
2. 良好的中英文听说读写能力，具备良好的沟通能力；
3. 对可持续发展有一定的认识；
4. 可以尽快到岗实习，每周四天及以上，至少三个月；
5. 熟练使用办公软件，具备一定的PPT总结，展示能力优先；",工作地点：申长路988弄虹桥万科中心7号楼收起地图,公司简介KPMG China 毕马威中国,,,三个月，四天,本科及以上
https://www.shixiseng.com/intern/inn_jwlzcxmjwoby?pcm=pc_SearchList,实习僧校招内推助手,"岗位职责：
Translation of Standard Operating Procedures;
Maintains stock control in the laboratory and bring  consumables and reagents;
Carries out housekeeping and equipment checks as appropriate to ensure that laboratory compliance is maintained at all times, 5S;
Actively maintains a clean, tidy and safe work environment；
Informs relevant personnel immediately when any deviation has occurred during routine testing;
Take other tasks as assigned by line manager

任职要求：
Major in Microbiology, Biological Sciences or relevant scientific subject is preferred
Good at English reading and writing;
Ability to complete documentation (both handwritten and electronic) neatly and accurately; 
0-2 years experience in a scientific laboratory role, ideally within a contract testing laboratory environment；
Working hard, results driven",工作地点：上海市/上海市/浦东新区 金科中心收起地图,公司简介实习僧校招内推助手,,,,
https://www.shixiseng.com/intern/inn_bp1n3nswscqk?pcm=pc_SearchList,小米科技,工作职责：1、了解公司全生态场景广告产品、协助部门同事及时传达客户与公司投放广告间的需求和问题；2、负责代理公司所需要的报告、报表等制作；3、协助完成代理公司合同、收款等工作；4、按照品牌代理客户要求准时提供广告数据截图，保证准确性和及时性；5、协助渠道同事跟公司各部门的内部沟通。职位要求：1、大三在读，每周至少到岗4天；2、性格开朗活泼，做事细心，对人有耐心；3、熟练运用计算机办公系统软件；4、善于与人沟通交流，执行能力强;,工作地点：上海 徐汇区徐汇万科中心（地铁1号线漕宝路站或地铁1、3号线上海南站）收起地图,公司简介小米科技,,,4天,
https://www.shixiseng.com/intern/inn_ghz3t0016nze?pcm=pc_SearchList,AIDI,岗位职责：听上海方言的音频文件，审核校对相应的文本内容职位要求：上海人或者从小生活在上海，能听懂上海方言英语cet-4级以上，能读懂英文guideline拥有自己的电脑，以及上网条件,工作地点：上海浦东新区收起地图,公司简介AIDI,,,,
https://www.shixiseng.com/intern/inn_pmtmdd2joecz?pcm=pc_SearchList,霸王茶姬,"职责描述：
1.负责社媒视频摄像&剪辑工作。根据品牌调性及产品方向，前期与创意策划配合，出具视频拍摄脚本、美术画面配色与道具规划;中期进行摄影执行工作，协同制片完成拍摄;后期完成视频制作、剪辑与调色的全过程;
2.对视频的美术画面视觉有所感知，并与品牌内容结合，创作具有视觉美感、故事性与传播性的作品;
任职要求：
1.熟练使用剪映、fcpx、PR、AE、PS等后期制作软件，具备良好的镜头感，会运用灯光，完成基础的场景搭建；
2.熟悉抖音短视频调性，能驾驭多种视频风格，有网感，对热点有敏感度，善于创新；
3. 工作认真负责，注重细节，团队意识强，有计划性和多元自主的沟通表达能力与理解能力；
4.投递简历需提供个人影像作品集。上传一份个人满意的作品以及作品中承担的角色，分别说一下摄像和剪辑的核心。",工作地点：上海市/上海市/徐汇区 凯虹路99号 虹桥联合大厦B座 霸王茶姬收起地图,公司简介霸王茶姬,,,,
https://www.shixiseng.com/intern/inn_tidvzb6vlbf1?pcm=pc_SearchList,小红书,"岗位描述】

1、平台数据洞察分析：利用平台跑数工具，支持平台汽车品牌客户前期数据洞察/行业分析/竞品分析/人群洞察等数据，对数据进行可视化呈现，并根据数据总结洞察发现产品机会点
2、平台营销策略产出：包括但不限于营销打法，内容策略，投放策略，并协助完成文档/PPT内容及提案支持。
3、协助结案复盘及PPT输出，梳理行业优秀案例素材及项目复盘，协助完成不同类型的专项课题定性研究，为品牌在小红书的营销传播提供策略性建议；

【岗位要求】
任职资格:
1、对营销策划有兴趣，相关实习经历优先；
2、每周到岗4天以上，全勤优先;至少保证4个月以上的实习期，可长期实习者优先;
3、小红书重度用户且熟悉平台规则，有互联网sense和营销同理心；逻辑思维好，有创意有想法，对数字敏感，能快速响应数据需求；
4、熟练使用Word、PPT等办公软件；精通Excel，有PPT美化经验超加分;
5、有互联网、广告公司、咨询公司商业分析\策划、汽车等相关专业背景实习经验者优先;
6、有较强的协作沟通和信息搜集能力，自驱动力强者优先；",工作地点：上海市/上海市/黄浦区 LuOne凯德晶萃广场办公楼收起地图,公司简介小红书,,,4个月，4天,
https://www.shixiseng.com/intern/inn_acnpzjdfgpkc?pcm=pc_SearchList,TESLA-特斯拉,"【岗位职责】
1、保障充电场站合作方收款的及时性和准确性：根据合同约定的付款方式，对接合作方和内部财务部门，在月度结算截止时间之前主动排查可能影响付款及时性和准确性的因素并进行解决。
2、充电场站合作方关系维护：在新站点上线之前完成新站企微群的创建，为合作方提供日常沟通及反馈的渠道；针对合作方付款相关的日常问询做及时响应和高效闭环；倾听合作方的需求和建议，建立良好稳定的合作关系。
3、充电场站信息维护：包括但不限于对新合作方建档、电表计价方案等信息的维护，以支持新站上线和结算。
4、持续通过对现有流程和内部系统工具的优化，来提高付款问题的处理效率，建立良性机制确保相关问题被主动发现，提前介入做解决。
 
【任职要求】
1、有强烈的自我驱动精神，心态积极主动，有责任心，做到事事有回应、件件有闭环
2、有较强的逻辑性思维及流程管理意识，跨部门沟通能力强，擅长多线处理问题及优先级判断，具有足够的耐心细心和冷静分析能力
3、有较好的用户视角和体验感受能力，有客户服务经验，社群运营经验、客诉管理、项目管理等经验的优先
4、熟练使用PPT、Word、Excel等office办公软件，有较好的数据分析能力，熟练使用Vlookup，数据透视等功能
5、本科及以上学历，财务及管理专业优先，实习期至少4个月以上，需全勤5天/周，实习期能达到6个月优先考虑",工作地点：向阳路880号收起地图,公司简介TESLA-特斯拉,,,4个月，5天,本科及以上
